    K_d          mu_d     log10_Kp_crack  log10_asp_crack    Kp
    67.606002    30.691229    -4.189648    -2.117676     0.020000
    67.606002    30.691229    -4.189648    -2.117676     0.020000
    67.556554    30.676928    -3.552539    -1.511230     0.020000
    65.783804    30.393768    -3.552539    -2.117676     0.020000
    66.775721    30.390670    -4.277148    -2.917480     0.020000
    17.339035    10.817645    -2.415039    -2.917480     0.020000
    66.761605    30.359743    -4.277148    -2.961426     0.020000
    66.761605    30.359743    -4.277148    -2.961426     0.020000
    17.339035    10.817645    -2.415039    -2.917480     0.020000
    16.320570     9.889403    -2.415039    -2.961426     0.020000
    65.868919    30.376154    -2.877148    -1.417480     0.020000
    67.897231    30.733850    -3.815039    -1.417480     0.020000
    65.635963    30.338339    -2.877148    -1.461426     0.020000
    65.635963    30.338339    -2.877148    -1.461426     0.020000
    67.897231    30.733850    -3.815039    -1.417480     0.020000
    67.868892    30.729469    -3.815039    -1.461426     0.020000
     0.529595     0.005002    -2.177148    -3.667480     0.020000
     0.230311     0.000952    -1.715039    -3.667480     0.020000
     0.468948     0.003170    -2.177148    -3.711426     0.020000
     0.468948     0.003170    -2.177148    -3.711426     0.020000
     0.230311     0.000952    -1.715039    -3.667480     0.020000
     0.220638     0.000693    -1.715039    -3.711426     0.020000
    65.653612    30.372115    -3.577148    -2.167480     0.020000
    61.290071    29.602679    -3.115039    -2.167480     0.020000
    65.406041    30.330088    -3.577148    -2.211426     0.020000
    65.406041    30.330088    -3.577148    -2.211426     0.020000
    61.290071    29.602679    -3.115039    -2.167480     0.020000
    60.654925    29.482341    -3.115039    -2.211426     0.020000
    31.839963    20.350783    -3.227148    -3.292480     0.020000
    61.097366    29.405164    -4.165039    -3.292480     0.020000
    65.668641    30.346278    -3.227148    -1.836426     0.020000
    65.668641    30.346278    -3.227148    -1.836426     0.020000
    61.097366    29.405164    -4.165039    -3.292480     0.020000
    67.872634    30.730359    -4.165039    -1.836426     0.020000
    32.962872    21.562538    -1.827148    -1.792480     0.020000
    61.809070    29.638266    -2.765039    -1.792480     0.020000
     0.304124     0.004789    -1.827148    -3.336426     0.020000
     0.304124     0.004789    -1.827148    -3.336426     0.020000
    61.809070    29.638266    -2.765039    -1.792480     0.020000
    10.593643     7.386453    -2.765039    -3.336426     0.020000
    33.142158    21.338677    -2.527148    -2.542480     0.020000
    61.792171    29.585398    -3.465039    -2.542480     0.020000
    65.716620    30.298992    -2.527148    -1.086426     0.020000
    65.716620    30.298992    -2.527148    -1.086426     0.020000
    61.792171    29.585398    -3.465039    -2.542480     0.020000
    67.879538    30.724937    -3.465039    -1.086426     0.020000
    68.078163    30.762796    -3.927148    -1.042480     0.020000
    61.965203    29.491405    -2.065039    -1.042480     0.020000
    65.713196    30.325509    -3.927148    -2.586426     0.020000
    65.713196    30.325509    -3.927148    -2.586426     0.020000
    61.965203    29.491405    -2.065039    -1.042480     0.020000
     9.022654     7.585971    -2.065039    -2.586426     0.020000
    58.501352    26.440234    -4.102148    -3.854980     0.020000
    43.902177    19.789562    -3.640039    -3.854980     0.020000
    59.100394    28.190049    -4.102148    -3.523926     0.020000
    59.100394    28.190049    -4.102148    -3.523926     0.020000
    43.902177    19.789562    -3.640039    -3.854980     0.020000
    46.188732    23.810326    -3.640039    -3.523926     0.020000
    46.799526    26.284726    -2.702148    -2.354980     0.020000
    26.268803    18.835395    -2.240039    -2.354980     0.020000
    56.170386    28.582304    -2.702148    -2.023926     0.020000
    56.170386    28.582304    -2.702148    -2.023926     0.020000
    26.268803    18.835395    -2.240039    -2.354980     0.020000
    40.867655    24.619453    -2.240039    -2.023926     0.020000
     0.656821     0.093610    -2.002148    -3.104980     0.020000
    64.417156    30.178324    -4.340039    -3.104980     0.020000
     2.570426     1.736168    -2.002148    -2.773926     0.020000
     2.570426     1.736168    -2.002148    -2.773926     0.020000
    64.417156    30.178324    -4.340039    -3.104980     0.020000
    67.027546    30.522970    -4.340039    -2.773926     0.020000
    67.107224    30.602337    -3.402148    -1.604980     0.020000
    65.164521    30.264932    -2.940039    -1.604980     0.020000
    67.661905    30.689603    -3.402148    -1.273926     0.020000
    67.661905    30.689603    -3.402148    -1.273926     0.020000
    65.164521    30.264932    -2.940039    -1.604980     0.020000
    66.715043    30.517099    -2.940039    -1.273926     0.020000
    64.022660    29.873207    -3.752148    -2.729980     0.020000
     1.291829     0.746489    -1.890039    -2.729980     0.020000
    67.643547    30.693182    -3.752148    -1.648926     0.020000
    67.643547    30.693182    -3.752148    -1.648926     0.020000
     1.291829     0.746489    -1.890039    -2.729980     0.020000
