    K_d          mu_d     log10_Kp_crack  log10_asp_crack    Kp
    65.162960    18.804254    -2.882568    -3.242676     0.020000
    51.723113    22.127310    -1.784228    -1.886230     0.020000
    35.823308     0.004932    -1.784228    -3.242676     0.020000
    64.643460    11.666106    -3.170068    -3.761230     0.020000
    44.820012     0.036575    -2.646729    -3.761230     0.020000
    67.144858    27.376189    -3.170068    -2.867676     0.020000
    67.144858    27.376189    -3.170068    -2.867676     0.020000
    44.820012     0.036575    -2.646729    -3.761230     0.020000
    64.096956    20.991129    -2.646729    -2.867676     0.020000
    55.725460    20.700323    -2.020068    -2.261230     0.020000
    68.238896    30.570996    -3.796728    -2.261230     0.020000
    61.083235    28.588899    -2.020068    -1.367676     0.020000
    61.083235    28.588899    -2.020068    -1.367676     0.020000
    68.238896    30.570996    -3.796728    -2.261230     0.020000
    68.365511    30.743393    -3.796728    -1.367676     0.020000
    63.210219    18.212220    -2.595068    -3.011230     0.020000
    51.574066     5.092097    -2.071728    -3.011230     0.020000
    46.572086     0.328710    -2.595068    -3.617676     0.020000
    46.572086     0.328710    -2.595068    -3.617676     0.020000
    51.574066     5.092097    -2.071728    -3.011230     0.020000
    40.222047     0.001739    -2.071728    -3.617676     0.020000
    68.321062    30.726421    -3.745068    -1.511230     0.020000
    67.899591    30.598932    -3.221729    -1.511230     0.020000
    68.222602    30.605906    -3.745068    -2.117676     0.020000
    68.222602    30.605906    -3.745068    -2.117676     0.020000
    67.899591    30.598932    -3.221729    -1.511230     0.020000
    67.577124    30.201044    -3.221729    -2.117676     0.020000
    68.187327    29.877617    -3.816943    -2.917480     0.020000
    58.473139    11.675656    -2.287354    -2.917480     0.020000
    68.181550    29.791959    -3.816943    -2.961426     0.020000
    68.181550    29.791959    -3.816943    -2.961426     0.020000
    58.473139    11.675656    -2.287354    -2.917480     0.020000
    58.125222    10.551313    -2.287354    -2.961426     0.020000
    66.584754    30.230297    -2.666943    -1.417480     0.020000
    68.170264    30.687086    -3.437353    -1.417480     0.020000
    66.490800    30.186530    -2.666943    -1.461426     0.020000
