    K_f          mu_f          f            Kp
    61.051547    28.212901     0.420502     0.050000
    61.016998    28.201370     0.423813     0.050000
    60.982128    28.189716     0.427124     0.050000
    60.946933    28.177938     0.430435     0.050000
    60.911407    28.166034     0.433746     0.050000
    60.875548    28.154001     0.437057     0.050000
    60.839348    28.141838     0.440368     0.050000
    60.802805    28.129543     0.443679     0.050000
    60.765912    28.117113     0.446990     0.050000
    60.728665    28.104545     0.450301     0.050000
    60.691059    28.091839     0.453612     0.050000
    60.653088    28.078991     0.456923     0.050000
    60.614747    28.066000     0.460234     0.050000
    60.576031    28.052862     0.463545     0.050000
    60.536934    28.039575     0.466856     0.050000
    60.497451    28.026137     0.470167     0.050000
    60.457575    28.012545     0.473478     0.050000
    60.417302    27.998796     0.476789     0.050000
    60.376624    27.984888     0.480100     0.050000
    60.335536    27.970818     0.483411     0.050000
    60.294031    27.956583     0.486722     0.050000
    60.252104    27.942180     0.490033     0.050000
    60.209747    27.927606     0.493344     0.050000
    60.166954    27.912858     0.496656     0.050000
    60.123719    27.897933     0.499967     0.050000
    60.080034    27.882828     0.503278     0.050000
    60.035892    27.867539     0.506589     0.050000
    59.991287    27.852063     0.509900     0.050000
    59.946210    27.836397     0.513211     0.050000
    59.900654    27.820537     0.516522     0.050000
    59.854612    27.804479     0.519833     0.050000
    59.808076    27.788220     0.523144     0.050000
    59.761038    27.771756     0.526455     0.050000
    59.713489    27.755083     0.529766     0.050000
    59.665421    27.738196     0.533077     0.050000
    59.616826    27.721093     0.536388     0.050000
    59.567695    27.703769     0.539699     0.050000
    59.518019    27.686218     0.543010     0.050000
    59.467789    27.668438     0.546321     0.050000
    59.416996    27.650423     0.549632     0.050000
    59.365630    27.632168     0.552943     0.050000
    59.313681    27.613670     0.556254     0.050000
    59.261139    27.594922     0.559565     0.050000
    59.207995    27.575920     0.562876     0.050000
    59.154237    27.556659     0.566187     0.050000
    59.099855    27.537133     0.569498     0.050000
    59.044839    27.517337     0.572809     0.050000
    58.989176    27.497265     0.576120     0.050000
    58.932856    27.476911     0.579431     0.050000
    58.875867    27.456270     0.582742     0.050000
    58.818196    27.435334     0.586054     0.050000
    58.759832    27.414099     0.589365     0.050000
    58.700762    27.392557     0.592676     0.050000
    58.640973    27.370702     0.595987     0.050000
    58.580452    27.348526     0.599298     0.050000
    58.519185    27.326024     0.602609     0.050000
    58.457158    27.303186     0.605920     0.050000
    58.394358    27.280007     0.609231     0.050000
    58.330769    27.256477     0.612542     0.050000
    58.266377    27.232590     0.615853     0.050000
    58.201166    27.208336     0.619164     0.050000
    58.135121    27.183708     0.622475     0.050000
    58.068225    27.158696     0.625786     0.050000
    58.000463    27.133292     0.629097     0.050000
    57.931816    27.107487     0.632408     0.050000
    57.862268    27.081270     0.635719     0.050000
    57.791801    27.054632     0.639030     0.050000
    57.720396    27.027562     0.642341     0.050000
    57.648035    27.000050     0.645652     0.050000
    57.574698    26.972085     0.648963     0.050000
    57.500365    26.943656     0.652274     0.050000
    57.425016    26.914751     0.655585     0.050000
    57.348631    26.885357     0.658896     0.050000
    57.271186    26.855463     0.662207     0.050000
    57.192661    26.825056     0.665518     0.050000
    57.113033    26.794122     0.668829     0.050000
    57.032277    26.762647     0.672140     0.050000
    56.950370    26.730618     0.675452     0.050000
    56.867288    26.698018     0.678763     0.050000
    56.783004    26.664833     0.682074     0.050000
    56.697492    26.631048     0.685385     0.050000
    56.610726    26.596644     0.688696     0.050000
    56.522678    26.561606     0.692007     0.050000
    56.433318    26.525916     0.695318     0.050000
    56.342618    26.489555     0.698629     0.050000
    56.250547    26.452503     0.701940     0.050000
    56.157073    26.414742     0.705251     0.050000
    56.062165    26.376251     0.708562     0.050000
    55.965789    26.337007     0.711873     0.050000
    55.867911    26.296990     0.715184     0.050000
    55.768495    26.256174     0.718495     0.050000
    55.667506    26.214538     0.721806     0.050000
    55.564904    26.172055     0.725117     0.050000
    55.460652    26.128699     0.728428     0.050000
    55.354709    26.084443     0.731739     0.050000
    55.247034    26.039259     0.735050     0.050000
    55.137583    25.993117     0.738361     0.050000
    55.026313    25.945986     0.741672     0.050000
    54.913178    25.897834     0.744983     0.050000
    54.798131    25.848628     0.748294     0.050000
    54.681122    25.798332     0.751605     0.050000
    54.562101    25.746910     0.754916     0.050000
    54.441016    25.694323     0.758227     0.050000
    54.317813    25.640532     0.761538     0.050000
    54.192435    25.585493     0.764849     0.050000
    54.064824    25.529164     0.768161     0.050000
    53.934921    25.471498     0.771472     0.050000
    53.802662    25.412447     0.774783     0.050000
    53.667984    25.351960     0.778094     0.050000
    53.530819    25.289984     0.781405     0.050000
    53.391097    25.226463     0.784716     0.050000
    53.248747    25.161339     0.788027     0.050000
    53.103694    25.094550     0.791338     0.050000
    52.955860    25.026031     0.794649     0.050000
    52.805164    24.955714     0.797960     0.050000
    52.651522    24.883526     0.801271     0.050000
    52.494847    24.809392     0.804582     0.050000
    52.335049    24.733232     0.807893     0.050000
    52.172033    24.654961     0.811204     0.050000
    52.005700    24.574490     0.814515     0.050000
    51.835949    24.491725     0.817826     0.050000
    51.662673    24.406564     0.821137     0.050000
    51.485761    24.318903     0.824448     0.050000
    51.305098    24.228630     0.827759     0.050000
    51.120562    24.135624     0.831070     0.050000
    50.932029    24.039759     0.834381     0.050000
    50.739366    23.940902     0.837692     0.050000
    50.542437    23.838908     0.841003     0.050000
    50.341097    23.733626     0.844314     0.050000
    50.135199    23.624892     0.847625     0.050000
    49.924584    23.512533     0.850936     0.050000
    49.709089    23.396364     0.854247     0.050000
    49.488542    23.276185     0.857559     0.050000
    49.262764    23.151785     0.860870     0.050000
    49.031566    23.022934     0.864181     0.050000
    48.794750    22.889389     0.867492     0.050000
    48.552110    22.750885     0.870803     0.050000
    48.303428    22.607140     0.874114     0.050000
    48.048474    22.457845     0.877425     0.050000
    47.787010    22.302672     0.880736     0.050000
    47.518783    22.141262     0.884047     0.050000
    47.243525    21.973228     0.887358     0.050000
    46.960958    21.798147     0.890669     0.050000
    46.670787    21.615563     0.893980     0.050000
    46.372700    21.424975     0.897291     0.050000
    46.066369    21.225839     0.900602     0.050000
    45.751446    21.017558     0.903913     0.050000
    45.427566    20.799477     0.907224     0.050000
    45.094342    20.570875     0.910535     0.050000
    44.751361    20.330960     0.913846     0.050000
    44.398190    20.078852     0.917157     0.050000
    44.034368    19.813580     0.920468     0.050000
    43.659405    19.534060     0.923779     0.050000
    43.272782    19.239084     0.927090     0.050000
    42.873947    18.927300     0.930401     0.050000
    42.462310    18.597187     0.933712     0.050000
    42.037247    18.247028     0.937023     0.050000
